Title,ParaphrasedAbstract
Peer relationship increasing the risk of social media addiction among Chinese adolescents who have negative emotions,"The pervasiveness of social media, while revolutionizing interpersonal communication, brings with it the potential for addiction. This research examined the psychometric properties of the Bergen Social Media Addiction Scale (BSMAS) among 1258 Chinese adolescents, and investigated the influence of peer relationships on the link between negative emotions and the likelihood of social media addiction. Structural equation modeling confirmed the robust one-factor structure of the BSMAS, demonstrating its reliability. Further analysis revealed a strong correlation between negative emotions and social media addiction risk, highlighting the significant role of both factors. Importantly, peer relationships were found to positively moderate the impact of negative emotions on addiction risk, signifying their protective influence. Conversely, gender did not demonstrate a moderating effect. The study validates the BSMAS as an effective instrument for assessing social media addiction risk in this population and underscores the importance of positive peer relationships in mitigating the detrimental effects of negative emotions on this risk. 
"
A novel machine learning and face recognition technique for fake accounts detection system on cyber social networks,"The explosive rise of Online Social Networks (OSNs) like Facebook, Instagram, and Twitter has brought both benefits and risks. While these platforms offer unparalleled opportunities for connection and communication, they also raise concerns regarding privacy and security. This paper explores the threats inherent in OSNs and proposes a dual-factor authentication method using digital face processing alongside password entry. Implemented in Matlab, this approach achieved a 95% accuracy rate after training a deep learning model with real-time webcam data. However, the pervasive issue of fake accounts persists across social networks, posing significant challenges. These fabricated profiles serve as potent instruments for spreading spam, malware, and phishing attacks, leading to financial losses, reputational damage, information theft, and other serious consequences. This research focuses on distinguishing fake from legitimate profiles on Facebook and Instagram using two distinct datasets. By applying machine learning algorithms like Naive Bayes, Logistic Regression, Support Vector Machines, K-Nearest Neighbors, Boosted Trees, Neural Networks, and kernel-based SVM and Logistic Regression, we analyzed various features associated with these profiles. Notably, SVM achieved the highest accuracy (97.1%) in classifying fake profiles. 
"
Linking health impact and Post-environmental impact assessments: a case of municipal sewage treatment plant volatile organic compounds,"Existing health and environmental impact assessments still exhibit limitations. To tackle these shortcomings, a case study investigating odors emanating from a municipal sewage treatment plant was conducted. Geographic information was leveraged to link the spread of pollutants with population activities, classified by land use. Odors, hydrogen sulfide, and ammonia were chosen as the focus pollutants after a screening process.  Subsequently, data collection for pollutant simulation encompassed meteorological analysis, environmental monitoring, and emission source analysis, leading to a visual representation of predicted pollutant dispersion. Human activities and exposure patterns were categorized by land-use attributes. By utilizing spatial coordination factors, the spatial distribution of pollutants was integrated with the predicted exposure profiles of the population based on their land use. A conventional health impact assessment (HIA) risk calculation method was employed and enhanced through the integration of spatial techniques. The resulting scenario HIA contours allow for the easy identification of acceptable odor pollutant levels on a geographic scale. This research presents a novel approach to connect HIA with post-environmental impact assessment using spatial factors, effectively addressing limitations of HIA in real-world applications. 
"
"Blockchain-enabled supply chain: analysis, challenges, and future directions","Maintaining the reliability and quality of goods and procedures within a complex supply chain involving numerous participants poses a considerable hurdle. Existing approaches often grapple with issues like data inconsistency, uncertain origins, and varying regulatory protocols across different distribution and operational stages. Blockchain technology has emerged as a frontrunner, offering secure tracking and oversight, tamper-proof records, and enhanced trust among stakeholders through a cost-effective IT framework. Despite its growing influence, widespread integration of Blockchain within supply chains faces various obstacles. This comprehensive survey delves into the challenges and future prospects of Blockchain-driven supply chains, analyzing existing digital supply chain practices, including the significance of GS1 standards. It examines real-world implementations and emerging companies in Blockchain-powered supply chains, presenting them in a structured format. The study critically assesses both technical and non-technical barriers to Blockchain adoption, evaluating the appropriateness of diverse consensus mechanisms for supply chain applications. It further explores the tools and technologies within the Blockchain ecosystem, highlighting key research areas that demand attention for achieving mainstream adoption of Blockchain in supply chain transparency. Lastly, the paper introduces MOHBSChain, a groundbreaking framework designed for Blockchain-enabled supply chains. 
"
Exploring Temporal Analytics in Fog-Cloud Architecture for Smart Office HealthCare,"The rapid evolution of Information and Communication Technology (ICT) has led to an abundance of sophisticated, multi-functional devices, fostering a real-time computational landscape that enables technologies like the Internet of Things (IoT). This user-end computational power facilitates a fog-based computing model for generating time-sensitive data, which, when combined with cloud storage, forms a comprehensive Fog-Cloud computing paradigm. This paper leverages the capabilities of IoT technology to propose a novel Fog-Cloud architecture aimed at delivering efficient healthcare services within a smart office environment. The proposed architecture focuses on monitoring and examining various health indicators of individuals during their work hours. Additionally, the framework incorporates diverse activities occurring within the office environment to assess their potential impact on health. To achieve this, a probabilistic measure, termed the Severity Index (SI), is introduced to quantify the negative effects of different activities on individual well-being. A practical application scenario involving temporal healthcare prediction and alert generation is then presented to illustrate the concept of Smart Office Healthcare. The system's efficacy is validated through an experimental implementation using diverse datasets. The results, benchmarked against established techniques, demonstrate the proposed model's superior efficiency and accuracy in providing a suitable healthcare environment during working hours within a smart office. 
"
Virtual team training with Mixed Reality and Virtual Reality – benefits and limitations illustrated on the example of two paramedic classes,"The increasing integration of technology, notably Extended Reality, in medical simulation training has spurred investigations into its effectiveness. This study explored the influence of Virtual and Mixed Reality (VR/MR) on paramedic team training using a quasi-experimental design. Participants, divided into an MR group using manikins and a VR group without, completed a virtual case simulation. Assessments included VR sickness, sense of presence, motivation, and sociodemographic factors. Both groups exhibited high intrinsic motivation, moderate spatial presence, and good usability, but experienced VR sickness symptoms. Significant correlations emerged between self-regulation, intrinsic motivation, spatial presence, and usability within each group. Notably, the MR group showed lower amotivation levels. This suggests that VR/MR can be valuable learning tools when thoughtfully implemented by skilled instructors, emphasizing setup protocols, competency-based approaches, acknowledging the simulation context, and incorporating structured debriefings. The study also recommends the use of wireless VR headsets and haptic gloves. 
"
Virtual reality and gamification in education: a systematic review,"This research investigates the application of virtual reality and gamification in educational settings through a comprehensive review of existing research. Specifically, the study examines virtual reality learning environments enriched with gamification elements. Employing the PRISMA guidelines, a systematic literature review was conducted, encompassing publications from five prominent databases without constraints on educational level, study type, subject matter, or publication date.  A total of 112 articles were analyzed to address 16 research questions through a thematic analysis approach. The quality of the included articles was rigorously evaluated using the MMAT tool. The results highlight that both gamification and virtual reality align with various pedagogical theories and practices. Integrating these technologies into education holds the potential to enhance and revolutionize traditional teaching and learning, garnering positive feedback from both students and educators. Notably, gamification elements were found to have a significant impact on student achievement. Compared to conventional learning environments, gamified virtual reality environments fostered higher levels of motivation, engagement, and interactivity, while also providing greater opportunities for personalized and collaborative learning. The immersive and interactive experiences facilitated by these environments led to enhanced student immersion, social presence, knowledge acquisition, and material comprehension. Positive shifts in student attitudes, behaviors, and mindsets were observed, accompanied by improvements in cognitive, physical, and socio-emotional development.  Learning environments incorporating both virtual reality and gamification demonstrated a positive influence on student learning outcomes, motivation, engagement, and self-efficacy.  Furthermore, they resulted in improvements in academic performance, active participation, and overall satisfaction. Students exhibited increased curiosity, imagination, focus, and interest, while also developing valuable skills and competencies.  The study concludes that gamified virtual reality serves as a powerful educational tool capable of enhancing learning across all levels of education, subjects, and contexts. 
"
Wordsphere: virtual reality text input interface,"Once a figment of imagination and science fiction, virtual reality (VR) has rapidly infiltrated our personal spaces, becoming increasingly integrated with our computers and daily lives. This trajectory mirrors numerous technological advancements that have transitioned from specialized fields like military and scientific research to commonplace applications seamlessly woven into our routines. The emergence of the ""metaverse"" exemplifies this trend. Similarly, innovators, entrepreneurs, and various professionals are exploring VR's potential, creating applications that benefit sectors like education, healthcare, psychology, human resources, real estate, and tourism. However, despite this burgeoning innovation, text input methods remain largely stagnant, relying on outdated and inefficient systems like the QWERTY keyboard. This lack of progress hinders the seamless integration of text in VR environments. This article proposes a novel solution: Wordsphere, a three-dimensional (3D) text input prototype designed for immersive VR experiences. Wordsphere capitalizes on the demand for user-friendly VR technologies and paves the way for future research and development in this field. 
"
Effectiveness of Virtual Reality in Improving Oral Health,"Evolving societal shifts have transformed the pedagogical approaches employed to enhance public health awareness and lifestyle choices. Given the current generation's affinity for technology, leveraging these tools is crucial in capturing their attention for health education. This research sought to evaluate the comparative efficacy of a virtual reality educational tool and conventional methods in dental hygiene instruction among Riyadh school children aged 10 to 18. A mixed-methods longitudinal assessment of daily dental hygiene practices revealed statistically significant enhancements in plaque indices, percentage, and brushing scores within the VR group. In conclusion, the study suggests VR-based education exhibits superior effectiveness in elevating children's oral health compared to traditional pedagogical approaches. 
"
Utilizing Virtual Reality for Distraction in Emergency Care,"This review examines the existing research on employing virtual reality (VR) as a distraction technique in emergency departments, particularly during wait times and minor procedures. The focus is on VR's capacity to alleviate pain and anxiety.  As VR technology becomes more readily available, clinicians are integrating it into their practice to support both children and adults in emergency settings. Studies suggest that VR holds promise for managing anxiety, pain, and overall distress during waiting periods and minor procedures.  This review traces the development of VR in patient care, highlighting its use in emergency departments, logistical aspects, and potential future applications. VR is not presented as a substitute for medication but rather as an immersive alternative to traditional, often inconsistent, distractions like televisions and tablets. Although existing research has limitations, the positive results indicate that VR has significant potential for improving patient experiences. 
"
