Title,ParaphrasedAbstract
Peer relationship increasing the risk of social media addiction among Chinese adolescents who have negative emotions,"The reach and means of personal communication have been broadened by social media, which also brings the potential danger of social media addiction. This research detailed the psychometric properties of the Bergen Social Media Addiction Scale (BSMAS) and examined the moderating influence of peer relationships on the link between negative emotions and the likelihood of social media addiction. A total of 1258 individuals participated in an online survey, completing various scales. Through exploratory structural equation modeling, BSMAS was found to exhibit a robust one-factor structure with a reliable internal consistency coefficient. The analysis of criterion-related validity and explained variance suggested a positive correlation between negative emotions and the risk of social media addiction while noting the significant impact of negative emotions and peer relationships. Moderation analysis revealed that peer relationships enhanced the effect of negative emotions on the risk of social media addiction, whereas gender did not serve as a moderator. The BSMAS proved to be a valid measure for assessing the risk of social media addiction in Chinese adolescents. Ultimately, peer relationships were identified as a beneficial moderator in the context of negative emotions and social media addiction risk."
A novel machine learning and face recognition technique for fake accounts detection system on cyber social networks,"Online Social Networks (OSNs) like Facebook, Instagram, Twitter, and others have experienced swift expansion in recent times. These platforms offer engaging online social frameworks, allowing users to interact with family and friends, meet new individuals, join groups, chat, share images, plan events, and connect with peers similarly to real-life interactions. However, they also pose privacy and security concerns. In this paper, we identified threats within OSNs and suggested a digital face-processing authentication approach as a two-factor authentication method following password entry using Matlab. Utilizing deep learning classification with data gathered from a live webcam for model training, we achieved an optimal accuracy rate of 95%. Despite this, such techniques have yet to be widely adopted across all social networks. Hence, we also addressed the issue of fake accounts, a major challenge in OSNs. These accounts are potent tools for launching spam campaigns and disseminating malware and phishing schemes. Fake profiles can result in financial losses for companies, reputational damage, information theft for malicious activities, and more. This research focuses on distinguishing fake and authentic profiles within OSNs. We analyzed two datasets containing fake and real accounts on Facebook and Instagram, each with distinct attributes. After applying machine learning algorithms such as Naive Bayes, Logistic Regression, Support Vector Machines, K-Nearest Neighbor, Boosted Tree, Neural Networks, SVM Kernel, and Logistic Regression Kernel, the SVM classifier yielded the highest accuracy in detecting fake profiles, with a rate of 97.1%."
Linking health impact and Post-environmental impact assessments: a case of municipal sewage treatment plant volatile organic compounds,"Current health impact assessments (HIA) and environmental impact assessments (EIA) have notable deficiencies. To address gaps in EIA theory, a case study on odors from a municipal sewage treatment plant (MSTP) was conducted, using geographic factors to link the spatial spread of pollutants with population activities classified by land-use characteristics. After identifying priority pollutants from the MSTP, odors, hydrogen sulfide, and ammonia were chosen for study. Spatial parameters for pollutant modeling, including meteorological analysis, environmental emission monitoring, and emission source analysis, were then collected, and pollutant diffusion was predicted. Human activity types and exposure patterns were organized by land-use attributes. The spatial diffusion of pollutants was integrated with the exposure profiles of the local population using corresponding spatial coordination factors. The typical HIA risk calculation method was applied and expanded with spatial techniques in our study. The resulting HIA contour maps for the scenario are presented, highlighting the acceptable levels of odor pollutants from the MSTP in relation to geography. This study explores a significant method for linking HIA with post-EIA through spatial factors and addresses the shortcomings of HIA in empirical EIA applications."
"Blockchain-enabled supply chain: analysis, challenges, and future directions","Ensuring the integrity of products and processes within a multi-participant supply chain environment presents considerable difficulties. A number of current approaches are hindered by fragmented data, unreliable provenance, and varying protocol regulations across different distributions and procedures. Notably, Blockchain has surfaced as a dominant technology, offering secure traceability, stringent immutability, and trust-building among stakeholders at a low IT cost. Despite Blockchain's broad impact across various sectors, numerous obstacles hinder its extensive adoption in supply chains. This article represents the first survey of its kind, providing a comprehensive analysis of the hurdles and future prospects for Blockchain-enabled supply chains. It examines the current state of supply chain digitalization, including the contribution of GS1 standards and technologies. Existing use cases and startups in the Blockchain-enabled supply chain arena are reviewed and cataloged. Both technical and non-technical challenges in deploying Blockchain in supply chains are scrutinized, along with the appropriateness of various consensus algorithms for these applications. The tools and technologies within the Blockchain ecosystem are showcased and assessed. Additionally, key areas for future research necessary for the widespread adoption of Blockchain-based supply chain traceability are pinpointed. Ultimately, we introduce MOHBSChain, an innovative framework for Blockchain-enabled supply chains."
Exploring Temporal Analytics in Fog-Cloud Architecture for Smart Office HealthCare,"Since the advancements in Information and Communication Technology (ICT), the market has been inundated with high-end multi-tasking devices, creating a real-time computational environment for technologies such as the Internet of Things (IoT). By enabling user-end computation, this fosters a fog-based computing paradigm that generates time-sensitive results, which, coupled with cloud storage, forms a comprehensive Fog-Cloud computing framework. Therefore, this paper focuses on leveraging IoT technology to introduce an innovative Fog-Cloud architecture aimed at delivering efficient healthcare services within a smart office. Specifically, a Fog-Cloud framework has been developed to monitor and analyze various health metrics of individuals during their working hours. Additionally, the system incorporates various activities in the office environment to assess their impact on health severity. To achieve this, a probabilistic measure called the Severity Index (SI) is defined to evaluate the negative effects of different activities on personal health. Finally, a use case scenario of temporal healthcare predictive monitoring and alert generation is discussed to illustrate the concept of Smart Office Healthcare. To validate the system, an experimental implementation is conducted on heterogeneous datasets, and the results, when compared with state-of-the-art techniques, demonstrate that the proposed model is highly efficient and accurate in providing a suitable healthcare environment during office hours in a smart office."
Virtual team training with Mixed Reality and Virtual Reality – benefits and limitations illustrated on the example of two paramedic classes,"The domain of medical case simulations has witnessed significant technological advancements over the years, particularly with the integration of Extended Reality. This research investigated how Virtual Reality (VR) and Mixed Reality (MR) influence team training for paramedic learners. The study adopted a quasi-experimental, cross-sectional, controlled comparison methodology, categorizing participants into an experimental group (EG) using mixed reality with a manikin, and a control group (CG) utilizing virtual reality without a manikin. Post-simulation, participants were assessed on ""VR sickness,"" presence, motivation, and demographic variables. Analysis through parametric tests was used to compare mean scores and identify correlations. Twenty participants were evaluated in the EG and sixteen in the CG. Findings demonstrated high intrinsic motivation (mean 5.32/7), acceptable spatial presence (mean 4.24/6), and good usability (mean 68.54/100) in both groups, despite reports of VR sickness (SSQ total score: 11.43). Positive correlations were seen between identified regulation and usability (EG: r = .74, p < .001; CG: r = .76, p < .001), intrinsic motivation and usability (EG: r = .83, p < .001; CG: r = .70, p = .003), and spatial presence and usability (EG: r = .71, p < .001; CG: r = .61, p = .01) across both groups. There was a notable mean score difference in amotivation between the EG (mean 1.92/6) and CG (mean 1.56/6, p = .021). VR and MR can be effective learning tools when thoughtfully implemented by knowledgeable instructors. We recommend the use of preparation checklists, a competence-focused approach, recognition of implicit agreements, structured debriefing, wireless head-mounted displays, and ""data gloves."""
Virtual reality and gamification in education: a systematic review,"This research seeks to evaluate the application of virtual reality and gamification in education through a comprehensive review of current literature. Beyond examining virtual reality, the focus extends to gamified virtual reality educational environments, which incorporate gamification features into VR settings. Utilizing the PRISMA guidelines, a systematic literature review was performed with no restrictions on educational level, study type, subject matter, or publication date. Relevant articles were sourced from five databases: ERIC, Google Scholar, IEEE, SCOPUS, and Web of Science. A total of 112 articles were selected, from which 16 research questions were investigated, and thematic analysis was executed. The Mixed Methods Appraisal Tool (MMAT) was employed to assess the quality of the included studies. The findings indicate that both gamification and virtual reality align with several educational theories and methodologies. Their integration into education can enhance and transform conventional teaching and learning approaches, receiving positive feedback from both students and educators. Gamification elements notably impacted students’ performance. Compared to traditional educational environments, gamified virtual reality settings were more motivating, engaging, and interactive, offering greater opportunities for personalized and collaborative learning. The realistic and engaging experiences provided served to enhance students’ immersion and social presence, improve knowledge acquisition, and aid in material comprehension. Observations showed positive shifts in student attitudes, behaviors, and mindsets, along with improvements in cognitive, physical, and social-emotional development. These integrated learning environments bolstered students’ learning outcomes, motivation, engagement, and self-efficacy. Additionally, increases in academic performance, active participation, and satisfaction were noted. The integration also fostered growth in students’ curiosity, imagination, focus, and interests, along with the development of their skills and competencies. Ultimately, gamified virtual reality proved to be an effective educational tool that can enhance learning across various educational levels, subjects, and contexts."
Wordsphere: virtual reality text input interface,"In recent times, virtual reality has transitioned from being a mere fantasy or science fiction concept to a tangible reality that is increasingly integrated into our homes and computers. Like many other technological advancements that shift from military and scientific origins to everyday casual uses, virtual reality is becoming a part of our daily lives, especially with the emergence of the trendy term, the metaverse. Innovators, entrepreneurs, merchants, and business professionals are now exploring applications that demonstrate benefits across various fields such as education, healthcare, psychology, human resources, real estate, and tourism. However, despite this wave of innovation, there is a significant lack of progress in improving text input methods, which remain stagnant due to the continued use of the outdated and unintuitive QWERTY keyboard. This article introduces a novel text input method, a three-dimensional (3D) text input prototype called Wordsphere, designed to enhance immersion in virtual reality. Wordsphere aims to address the need for technological adaptation among virtual reality novices and lays the groundwork for future research and development in this area."
Effectiveness of Virtual Reality in Improving Oral Health,"Over the years, traditional approaches to educating the populace to enhance their daily lives, overall health, and health literacy have evolved. With the current generation being technologically inclined, it is crucial to leverage technology to captivate their interest in health education. This study aims to evaluate the effectiveness of a virtual reality tool versus traditional dental education methods among school children aged 10-18 in Riyadh, Saudi Arabia. Students' daily dental hygiene was monitored over a longitudinal phase using a mixed-method approach. Results showed a statistically significant enhancement in plaque index score (p=.000), plaque percentage (p=.000), and brushing score (p=.000) when comparing Virtual Reality education to traditional methods. In conclusion, virtual reality education proves to be more effective in improving children's oral health than traditional educational methods."
Utilizing Virtual Reality for Distraction in Emergency Care,"Objective of ReviewThis article aims to examine the existing literature on the utilization of virtual reality for distraction during emergency department wait times and minor medical procedures, with a particular focus on its pain-relieving and anxiety-reducing capabilities.Recent DiscoveriesAs virtual reality becomes more accessible and affordable, medical professionals have started employing it in the emergency department for both children and adults. These applications during waiting periods and minor procedures demonstrate its potential in reducing anxiety and pain, as well as managing distress.SummaryThis review outlines the progression of virtual reality in patient care, emphasizing its use in emergency department settings, logistical challenges, and future prospects. Rather than serving as a substitute for medications, virtual reality is compared to the less consistent traditional distractions like televisions and tablets as a more engaging alternative. While positive outcomes are noted, current research limitations necessitate caution, yet VR continues to show significant promise."
