Title,Abstract
Peer relationship increasing the risk of social media addiction among Chinese adolescents who have negative emotions,"Social media has expanded the scope and method of interpersonal communication, and presents the risk of social media addiction as well. This study reported the psychometrics of the Bergen Social Media Addiction Scale (BSMAS) and further analyzed the moderating role of peer relationship on the association between negative emotions and risk of social media addiction. A total of 1258 survey participants were asked to complete a set of scales online. Exploratory structural equation modeling enabled BSMAS to reveal a solid one-factor structure with satisfactory internal consistency coefficient. Criterion-related validity and variance explanation rate analysis implied a positive relationship between negative emotions and risk of social media addiction, and identified the significant contributions of negative emotions and peer relationship to the risk of social media addiction. Moderation analysis demonstrated that peer relationship positively moderated the effect of negative emotions on the risk of social media addiction. However, gender was not a moderator affecting negative emotions on the risk of social media addiction. BSMAS was a valid tool for measuring the risk of social media addiction among Chinese adolescents. Lastly, peer relationship is a positive moderator in influencing negative emotions and risk of social media addiction."
A novel machine learning and face recognition technique for fake accounts detection system on cyber social networks,"Online Social Networks (OSN) such as Facebook, Instagram, Twitter, and others have seen rapid growth in recent years. Such applications provide attractive online social networks and communications with the opportunity to connect with relatives and acquaintances, meet new people, enter communities, talk, exchange photos, organize events, and network with others who are close to real-life; unfortunately, on the other hand, they also raise privacy and security issues. We identified OSN threats in this paper and recommended a digital face-processing authentication method as a double-factor authentication after entering the password using Matlab. After applying deep learning classification by attending to a real dataset from the live webcam to train the model, we achieved the best accuracy rate of 95%. However, such methods have yet to be deployed to all social networks, so we also mentioned the problem of fake accounts, which is one of the most significant problems in OSN. These are effective tools for executing spam campaigns and spreading malware and phishing attacks. Fake accounts could lead to the loss of money for businesses, loss of reputation, stealing information for malicious purposes, and much more. This study is related to detecting fake and legitimate profiles on OSN. For this purpose, we chose two datasets that contain fake and legitimate accounts on Facebook and Instagram. Each contains different features after applying machine learning using Naive Bayes, Logistic Regression, Support Vector Machines, K-Nearest Neighbour, Boosted Tree, Neural Networks, SVM Kernal, and Logistec Regression Kernal. SVM achieved the highest classification accuracy for the Fake Profiles detection datasets with 97.1%."
Linking health impact and Post-environmental impact assessments: a case of municipal sewage treatment plant volatile organic compounds,"Deficiencies remain in current health impact assessment (HIA) and environmental impact assessment (EIA) projects. To address the shortcomings in EIA theory, a case of odors from a municipal sewage treatment plant (MSTP) was examined and geographic factors were employed to associate the spatial diffusion of the pollutants with the population’s activities based on land-use attributes. After screening the MSTP priority control pollutants, odors, hydrogen sulfide, and ammonia were selected for this study. Then, the spatial parameters for the pollutant simulation were surveyed, including parameters concerning the meteorological analysis, environmental emission monitoring, and emission source analysis, and a prediction of the pollutant diffusion as imaged and identified. The types of human social activity and exposure patterns were sorted as land-use attributes. An integration of the spatial diffusion of the pollutants with the exposure profiles of the scenario population according to the land-use attributes was achieved using counterpart spatial coordination factors. In our study, the commonly applied method of HIA risk calculation was followed and then extended by the spatial techniques introduced. The results of the scenario HIA contours are presented here, making it easy to determine the acceptable levels of the MSTP odor pollutants on a geographic scale. This study examines a significant approach to associate HIA with post-EIA via spatial factors and addresses the deficiencies of HIA in EIA empirical applications."
"Blockchain-enabled supply chain: analysis, challenges, and future directions","Managing the integrity of products and processes in a multi-stakeholder supply chain environment is a significant challenge. Many current solutions suffer from data fragmentation, lack of reliable provenance, and diverse protocol regulations across multiple distributions and processes. Amongst other solutions, Blockchain has emerged as a leading technology, since it provides secure traceability and control, immutability, and trust creation among stakeholders in a low cost IT solution. Although Blockchain is making a significant impact in many areas, there are many impediments to its widespread adoption in supply chains. This article is the first survey of its kind, with detailed analysis of the challenges and future directions in Blockchain-enabled supply chains. We review the existing digitalization of the supply chain including the role of GS1 standards and technologies. Current use cases and startups in the field of Blockchain-enabled supply chains are reviewed and presented in tabulated form. Technical and non-technical challenges in the adoption of Blockchain for supply chain applications are critically analyzed, along with the suitability of various consensus algorithms for applications in the supply chain. The tools and technologies in the Blockchain ecosystem are depicted and analyzed. Some key areas as future research directions are also identified which must be addressed to realize mass adoption of Blockchain-based in supply chain traceability. Finally, we propose MOHBSChain, a novel framework for Blockchain-enabled supply chains."
Exploring Temporal Analytics in Fog-Cloud Architecture for Smart Office HealthCare,"Ever since the boost realized in Information and Communication Technology (ICT), market is flooded with high-end multi-tasking devices, presenting a real-time computational environment for technologies like Internet of Things (IoT). With computation at user-end, it provides a fog-based computing paradigm to generate time senstive results, which along with cloud storage presents a comprehensive Fog-Cloud computing paradigm. Because of these reasons, the work presented in this paper focuses on utilizing the potential of IoT Technology to provide a novel Fog-Cloud architecture for efficient healthcare services in smart office. Specifically, a Fog-Cloud architecture has been proposed to monitor and analyze various health attributes of a person during his working hours. Moreover, the framework indulges various activities in the ambient office environment with the purpose of analyzing it for health severity. In order to realize this, a probabilistic measure, named as Severity Index (SI) is defined to evaluate the adverse effects of different activities on personal health. Finally, an application scenario of temporal healthcare predictive monitoring and alert generation is discussed to depict the ideology of Smart Office Healthcare. In order to validate the system, an experimental implmentation is performed on heterogenous datasets. The results obtained in comparison to state-of-the-art techniques show that the proposed model is highly efficient and accurate for providing appropriate healthcare environment during working hours of a person in a smart office."
Virtual team training with Mixed Reality and Virtual Reality – benefits and limitations illustrated on the example of two paramedic classes,"In the field of medical case simulations, strong technologization has been observed for years, for example through Extended Reality. This study examined the impact of Virtual and Mixed Reality (VR, resp. MR) on the team training of paramedic trainees. In the quasi-experimental cross-sectional controlled comparison study, participants were assigned to an experimental group (= EG, mixed reality with manikin) and a comparison group (= CG, virtual reality without manikin). After a virtual case simulation, “VR sickness”, sense of presence, motivation, and sociodemographic variables were elicited. Parametric tests were used for mean comparison and correlation analysis. A total of 20 participants were evaluated in the EG and 16 in the CG. In both groups, high intrinsic motivation (mean 5.32/7), an acceptable sense of spatial presence (mean 4.24/6), and advanced usability (mean 68.54/100), were observed. VR sickness symptoms were present (SSQ total score: 11.43). In both groups, correlation was found between Identified Regulation and Usability (EG: r = .74, p < .001, CG: r = .76, p < .001). The same pattern could be observed for Intrinsic Motivation and Usability (EG: r = .83, p < .001, CG: r = .70, p = .003). Spatial Presence and Usability were also correlated in both groups (EG: r = .71, p < .001, CG: r = .61, p = .01). A significant mean score difference (p = .021) was found for Amotivation between the EG (Mean = 1.92/6) and the CG (Mean = 1.56/6). VR and MR are potential learning methods if they are implemented in a planned manner by competent faculty. Our recommendation is to use setup checklists, but also a competence-oriented approach, considering fiction contract and structured debriefing. The use of wireless head-mounted displays and ""data gloves"" is also recommended."
Virtual reality and gamification in education: a systematic review,"This study aims to analyze the use of virtual reality and gamification in education by examining the existing literature. In addition to virtual reality, this study focuses on gamified virtual reality learning environments which refer to virtual reality learning environments that integrate gamification elements and mechanisms. Based on the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement, a systematic literature review was carried out. No limitations were set regarding educational level, type of study, subject, and publication year. The related articles were retrieved from 5 databases (ERIC, Google Scholar, IEEE, SCOPUS, and Web of Science). A total of 112 articles were included, 16 research questions were explored, and a thematic analysis was conducted. To evaluate the quality of the articles included, the Mixed Methods Appraisal Tool (MMAT) was used. According to the findings, gamification and virtual reality support several pedagogical theories and approaches. Their adoption to and integration into education can enrich and transform traditional teaching and learning and were assessed positively by students and teachers. Gamification elements significantly affected students’ achievements. In comparison to traditional learning environments, gamified virtual reality learning environments were more motivating, engaging, and interactive and offered more opportunities for personalized and collaborative learning. Through the realistic and interactive experiences offered, students’ immersion and social presence can be enhanced, knowledge acquisition can be improved, and material comprehension can be facilitated. Positive changes in student attitude, behavior, and mentality as well as improved cognitive, physical, and social–emotional development were observed. When using learning environments that integrate both virtual reality and gamification, students’ learning outcomes, motivation, engagement, and self-efficacy were increased. Additionally, students’ academic performance, active involvement, and satisfaction were improved. Students’ curiosity, imagination, focus, and interest were enhanced and their skills and competences were developed. Finally, gamified virtual reality emerged as an effective educational tool that can improve learning at all educational levels, subjects, and contexts."
Wordsphere: virtual reality text input interface,"In recent years, virtual reality has moved from a fantasy or science fiction theme to a reality increasingly closer to our homes and computers. As is the case of various technological advances, from military and scientific use to casual and routine use, which are increasingly adapted to day-to-day use cases, as is observed with the announcement of a new fashionable term, the metaverse. In the same way, this possibility today in the sight of innovators, entrepreneurs, merchants, and businesspeople, among others, begins to generate applications that show benefits in different branches such as education, medicine, psychology, human resources, real estate, tourism. The detail is that within the innovation, very little is being done for an improvement in text input, which generates a stagnation for continuing with a method of capturing text, even already known with lack of intuition and not optimal, such as the provided by the QWERTY keyboard. This article presents a proposal for a new text input method, a three-dimensional (3D) text input prototype focused on immersion in virtual reality, Wordsphere, which takes advantage of the need for technological adoption for novice users in virtual reality and, in turn, leaves on the table future lines of work and research."
Effectiveness of Virtual Reality in Improving Oral Health,"The traditional methods of educating the population to empower them and improve their daily lifestyle as well as their general health and their health literacy, has changed over the years. The current generation is technologically oriented; therefore use of technology to gain their interest is paramount in health education. The aim of this study is to assess the effectiveness of using a virtual reality tool compared to a traditional method of dental education among school children aged 10-18 years old in Riyadh, Saudi Arabia. A longitudinal phase of assessment for student’s daily dental hygiene was assessed using a mixed method. There was a statistically significant improvement in plaque index score (p=.000), plaque percentage (p=.000), and brushing score (p=.000), when comparing education using Virtual Reality vs traditional method. Conclusion: Use of virtual reality education is more effective in improving the oral health status of children compared to the traditional educational method."
Utilizing Virtual Reality for Distraction in Emergency Care,"Purpose of ReviewThis paper will review the published literature involving virtual reality as a tool for distraction during emergency department waiting periods and minor procedures, with a special emphasis on virtual reality’s analgesic and anxiolytic potential.Recent FindingsWith virtual reality becoming increasingly accessible and affordable, clinicians have started utilizing virtual reality as an intervention in the emergency department for pediatric and adult patients. These interventions have been implemented during waiting periods and minor procedures, showing promise for anxiolysis, analgesia, and distress management.SummaryThis paper summarizes the evolution of virtual reality use in patient interventions, with a focus on emergency department applications, logistical considerations, and future directions. Virtual reality is not discussed as a replacement for pharmaceuticals; rather, it is compared against inconsistent standard-of-care distractions (e.g., televisions, tablets) as a more immersive option. Positive findings with this technology are tempered by the limitations of current research, but VR still holds great potential."
