Title,ParaphrasedAbstract
Peer relationship increasing the risk of social media addiction among Chinese adolescents who have negative emotions,"The proliferation of social media has revolutionized the dynamics of interpersonal interaction, but concurrently, it poses the threat of excessive usage. This investigation examined the psychometric properties of the Bergen Social Media Addiction Scale and probed the mediating influence of peer relationships on the link between adverse emotional states and the propensity for social media addiction. A total of 1258 online survey respondents completed a battery of scales, which were subsequently analyzed using exploratory structural equation modeling. The results revealed a robust one-factor structure for the BSMAS, accompanied by satisfactory internal consistency. Furthermore, the analysis demonstrated a positive correlation between negative emotions and the risk of social media addiction, with both negative emotions and peer relationships emerging as significant predictors of this risk. Notably, peer relationships were found to exert a positive moderating effect on the relationship between negative emotions and social media addiction, whereas gender did not exhibit a moderating influence. The BSMAS was thus validated as a reliable instrument for assessing social media addiction among Chinese adolescents, with peer relationships playing a crucial role in mitigating the impact of negative emotions on social media addiction."
A novel machine learning and face recognition technique for fake accounts detection system on cyber social networks,"The proliferation of Online Social Networks (OSNs) like Facebook, Instagram, Twitter, and others has been remarkable in recent years, offering users a platform to reconnect with family and friends, expand their social circles, and engage in various online activities. While these platforms provide a multitude of benefits, they also pose significant concerns regarding privacy and security. This paper identifies the threats associated with OSNs and proposes a novel digital face-processing authentication method, which involves a two-factor verification process utilizing Matlab. By leveraging deep learning classification and training the model with a real dataset from a live webcam, we achieved an impressive accuracy rate of 95%. However, the widespread adoption of such methods across all social networks remains a challenge, particularly in light of the pervasive issue of fake accounts, which are often exploited to launch spam campaigns, spread malware, and execute phishing attacks. These fraudulent accounts can result in substantial financial losses, reputational damage, and unauthorized access to sensitive information. This study focuses on distinguishing between genuine and fake profiles on OSNs, utilizing two datasets from Facebook and Instagram that comprise diverse features. By applying machine learning algorithms, including Naive Bayes, Logistic Regression, and Support Vector Machines, among others, we found that SVM achieved the highest classification accuracy of 97.1% in detecting fake profiles."
Linking health impact and Post-environmental impact assessments: a case of municipal sewage treatment plant volatile organic compounds,"""Despite ongoing limitations in health impact assessments (HIAs) and environmental impact assessments (EIAs), a novel approach was developed to bridge the theoretical gaps in EIA by investigating the case of a municipal sewage treatment plant's (MSTP) odor emissions. By leveraging geographic factors, the study correlated the spatial dispersion of pollutants with human activities based on land-use characteristics. Following a thorough screening of priority pollutants, odors, hydrogen sulfide, and ammonia were identified as key targets. Subsequently, spatial parameters were surveyed, encompassing meteorological analysis, environmental emission monitoring, and emission source analysis, to predict pollutant diffusion patterns. Land-use attributes were categorized to reflect various human social activities and exposure patterns. By integrating pollutant dispersion with exposure profiles using spatial coordination factors, the study successfully linked the spatial distribution of pollutants with the scenario population's activities. Building upon conventional HIA risk calculation methods, this research introduced spatial techniques to enhance the approach. The resulting HIA contour maps provide a geographic framework for determining acceptable levels of MSTP odor pollutants, thereby addressing the shortcomings of HIA in EIA applications and offering a significant step towards integrating HIA with post-EIA via spatial factors."""
"Blockchain-enabled supply chain: analysis, challenges, and future directions","""Ensuring the authenticity and consistency of products and processes across complex, multi-party supply chain networks poses a substantial hurdle. Existing solutions often struggle with dispersed data, unreliable origin tracking, and disparate regulatory requirements spanning multiple channels and processes. Amidst various alternatives, Blockchain technology has emerged as a frontrunner, offering secure, tamper-proof tracking, and fostering trust among stakeholders at a relatively low IT cost. Despite its significant influence in numerous domains, Blockchain's widespread adoption in supply chains faces several obstacles. This comprehensive survey provides an in-depth examination of the challenges and future trajectories in Blockchain-integrated supply chains, including a review of the current digital landscape, GS1 standards, and technologies. We present a detailed analysis of existing use cases, startups, and technical and non-technical barriers to Blockchain adoption, as well as the suitability of various consensus algorithms for supply chain applications. The Blockchain ecosystem's tools and technologies are also mapped and analyzed. Furthermore, we identify key areas for future research to facilitate the large-scale adoption of Blockchain-based supply chain traceability, culminating in the proposal of MOHBSChain, a novel framework for Blockchain-enabled supply chains."""
Exploring Temporal Analytics in Fog-Cloud Architecture for Smart Office HealthCare,"""Following the significant advancements in Information and Communication Technology (ICT), the market has been inundated with sophisticated, multi-functional devices, thereby creating a dynamic, real-time computational ecosystem conducive to the proliferation of innovative technologies such as the Internet of Things (IoT). By harnessing the power of edge computing, these devices enable the generation of time-critical results, which, when combined with cloud storage, form a comprehensive Fog-Cloud computing framework. This paper capitalizes on the potential of IoT technology to design a novel, efficient Fog-Cloud architecture tailored to provide high-quality healthcare services in intelligent office environments. Specifically, a proposed Fog-Cloud framework is designed to monitor and analyze various physiological parameters of individuals during their working hours, while also integrating ambient office activities to assess their impact on health. A probabilistic metric, dubbed the Severity Index (SI), is introduced to quantify the adverse effects of different activities on personal health. The paper also explores a scenario involving temporal healthcare predictive monitoring and alert generation, exemplifying the concept of Smart Office Healthcare. To validate the system, an experimental implementation is conducted on diverse datasets, yielding results that surpass those of existing techniques, thereby demonstrating the proposed model's exceptional efficiency and accuracy in creating an optimal healthcare environment during working hours in intelligent offices."""
Virtual team training with Mixed Reality and Virtual Reality – benefits and limitations illustrated on the example of two paramedic classes,"In the realm of medical simulation training, a pronounced trend towards technological advancement has been evident for some time, exemplified by the integration of Extended Reality. This investigation explored the effects of Virtual and Mixed Reality (VR and MR, respectively) on the collaborative training of paramedic students. A quasi-experimental, cross-sectional, controlled study was conducted, wherein participants were divided into an experimental cohort (EC), utilizing MR with a manikin, and a control group (CG), employing VR without a manikin. Following a virtual simulation exercise, the incidence of ""VR sickness,"" sense of immersion, motivational levels, and demographic characteristics were assessed. Parametric statistical analyses were employed to compare means and examine correlations. The study evaluated 20 participants in the EC and 16 in the CG. Notably, both groups exhibited high levels of intrinsic motivation (mean score: 5.32/7), a satisfactory sense of spatial immersion (mean score: 4.24/6), and advanced usability (mean score: 68.54/100). Symptoms of VR sickness were present, with a total SSQ score of 11.43. Correlations were observed between identified regulation and usability, intrinsic motivation and usability, as well as spatial presence and usability in both groups. A significant difference in mean scores was found for amotivation between the EC (mean score: 1.92/6) and the CG (mean score: 1.56/6). The strategic implementation of VR and MR by competent instructors holds promise as a learning methodology. Recommendations include the use of setup checklists, a competence-oriented approach incorporating fiction contracts and structured debriefing, as well as the integration of wireless head-mounted displays and ""data gloves."""
Virtual reality and gamification in education: a systematic review,"This research endeavors to investigate the application of immersive virtual reality and engaging gamification strategies in educational settings through a comprehensive examination of existing research literature. Specifically, it delves into the realm of gamified virtual reality learning platforms, which seamlessly integrate game design elements and mechanics into virtual reality environments. Guided by the rigorous methodology outlined in the PRISMA statement, a systematic review of the literature was conducted without imposing any constraints on educational level, study type, subject area, or publication date. A total of 112 relevant articles were retrieved from five prominent databases, yielding 16 research questions and a thematic analysis. The quality of the included studies was assessed using the MMAT tool. The findings suggest that the synergistic combination of gamification and virtual reality aligns with various pedagogical theories and approaches, holding the potential to revitalize and transform traditional teaching and learning practices. Both students and educators responded positively to the adoption of these innovative tools. Notably, gamification elements had a significant impact on student achievement. In contrast to conventional learning environments, gamified virtual reality platforms were found to be more stimulating, interactive, and engaging, offering enhanced opportunities for personalized and collaborative learning. By providing realistic and interactive experiences, these platforms can foster increased student immersion, social presence, and knowledge acquisition, while facilitating material comprehension. Furthermore, the integration of gamification and virtual reality was observed to positively influence student attitudes, behaviors, and mentalities, as well as cognitive, physical, and socio-emotional development. The use of these innovative learning environments was found to boost student learning outcomes, motivation, engagement, and self-efficacy, while improving academic performance, active participation, and satisfaction. Additionally, students' curiosity, imagination, focus, and interest were enhanced, and their skills and competencies were developed. Ultimately, gamified virtual reality emerged as a potent educational tool capable of enhancing learning across diverse educational levels, subjects, and contexts."
Wordsphere: virtual reality text input interface,"Over the past few years, virtual reality has transitioned from a fictional concept to a tangible presence in our daily lives, mirroring the trajectory of other technological breakthroughs that have evolved from specialized military and scientific applications to mainstream, everyday uses. The metaverse, a trendy buzzword, has captured the attention of innovators, entrepreneurs, and business leaders, who are now developing a wide range of applications that demonstrate benefits across various sectors, including education, healthcare, psychology, human resources, real estate, and tourism. However, amidst this innovation, there has been a notable lack of progress in improving text input methods, resulting in the continued reliance on outdated and inefficient systems, such as the QWERTY keyboard. This article proposes a novel solution: Wordsphere, a 3D text input prototype designed for immersive virtual reality experiences, which leverages the need for user-friendly technology in VR and opens up avenues for future research and development."
Effectiveness of Virtual Reality in Improving Oral Health,"The conventional approaches to promoting empowerment, lifestyle enhancement, and health awareness among the populace have undergone a significant transformation over time. In today's digitally savvy era, harnessing technology is crucial for capturing the attention of the younger generation in health promotion initiatives. This research endeavors to evaluate the comparative efficacy of a virtual reality-based tool versus traditional instructional methods in dental health education among school-going children in Riyadh, Saudi Arabia, within the 10-18 age bracket. A mixed-methods longitudinal assessment was employed to monitor students' daily dental hygiene practices, revealing a statistically significant enhancement in plaque index scores (p=.000), plaque percentage (p=.000), and brushing scores (p=.000) when virtual reality-based education was compared to traditional methods. The findings conclusively indicate that virtual reality-based education yields superior outcomes in enhancing the oral health of children relative to traditional pedagogical approaches."
Utilizing Virtual Reality for Distraction in Emergency Care,"""This review examines the existing body of research on leveraging virtual reality as a diversionary tactic during emergency department wait times and minor medical procedures, with a particular focus on its capacity to alleviate pain and anxiety. As virtual reality technology becomes more widely available and cost-effective, healthcare professionals have begun to integrate it into emergency department care for both pediatric and adult patients, yielding promising results in reducing anxiety, pain, and distress during waiting periods and minor procedures. This paper provides an overview of the development of virtual reality in patient care, highlighting its applications in emergency department settings, practical considerations, and future avenues for exploration. Rather than positioning virtual reality as a substitute for pharmaceutical interventions, this review compares its efficacy to conventional distraction methods, such as televisions and tablets, and finds that, despite current research limitations, virtual reality holds significant promise as a more immersive and effective alternative."""
Brief Report: Virtual Reality to Raise Awareness About Autism,"Objective: This investigation aimed to create and evaluate a virtual reality platform that enables users to experience a routine task from the perspective of an individual with autism, thereby fostering empathy and understanding. Approach: A randomized controlled trial was conducted, involving 103 participants from a technical college, who completed three surveys assessing their attitudes, knowledge, and receptivity towards autism. The experimental group additionally underwent an 8-minute virtual reality experience, co-designed with autistic individuals, prior to completing the surveys. Findings: Participants who engaged with the virtual reality simulation demonstrated improved attitudes, enhanced knowledge, and increased receptivity towards autism compared to the control group. Inference: The study's outcomes indicate that virtual reality simulations hold significant potential as a means of promoting awareness and understanding of autism."
Towards Education 4.0 in Geotechnical Engineering Using a Virtual Reality/Augmented Reality Visualization Platform,"The future of geotechnical engineering education can be revolutionized by the integration of Education 4.0, which has the potential to offer tailored and inclusive learning environments, thereby equipping students with the skills necessary to thrive in the fourth industrial revolution. This study delves into the application of immersive technologies, such as Augmented Reality (AR) and Virtual Reality (VR), as a key component of Education 4.0, to revitalize the teaching and communication of complex soil mechanics concepts. A comprehensive, step-by-step guide is presented for crafting interactive 3D models of geotechnical concepts, encompassing techniques such as texturing, UV mapping, animation, and exportation. To achieve this, two industry-leading 3D modeling and animation software programs, Autodesk Maya and Blender, are leveraged to design geotechnical avatars within a simulated soil mechanics laboratory setting. Autodesk Maya is utilized to create a detailed, interactive representation of the soil phase diagram, whereas Blender is employed to recreate a Consolidated Undrained (CU) triaxial laboratory experiment. The resulting geotechnical testing avatars are then uploaded to Sketchfab, a prominent online platform supporting AR/VR formats. Furthermore, this study explores the feasibility of establishing a virtual geotechnical engineering laboratory, highlighting its potential to transform practical learning experiences and expand educational accessibility."
"Lightness constancy in reality, in virtual reality, and on flat-panel displays","The scope of virtual reality (VR) technology is expanding rapidly, but research highlights that individuals tend to perceive environmental attributes distinctly in virtual and real-world settings, emphasizing the need to verify, rather than assume, the accuracy of virtual stimuli. A crucial aspect of realistic scene interpretation is surface color, particularly achromatic hues. To investigate the efficacy of virtual platforms in replicating realistic achromatic surface color perception, we conducted an experiment involving a physical setup with real lighting and surfaces, a commercial VR headset, and a traditional flat-screen display. Our results showed that lightness constancy was satisfactory across all three environments, although it was significantly superior in the real-world setting compared to the flat-screen display. Notably, we also observed greater inter-observer variability in VR and flat-screen display environments relative to the physical setup. These findings underscore the importance of considering these discrepancies in applications where accurate perception is paramount, while also suggesting that VR can serve as a versatile alternative to flat-screen displays and a reasonable surrogate for real-world environments in many cases."
