No,Title,Abstract,Abstract_gpt4o,Abstract_llama3,Abstract_gemini
32,Olympus: a GDPR compliant blockchain system,"Blockchain has been gaining significant interest in several domains. However, this technology also raises relevant challenges, namely in terms of data protection. After the General Data Protection Regulation (GDPR) has been published by the European Union, companies worldwide changed the way they process personal data. This project provides a model and implementation of a blockchain system to store personal data complying with GDPR. We examine the advantages and challenges and evaluate the system. We use Hyperledger Fabric as blockchain, Interplanetary File System to store personal data off-chain, and a Django REST API to interact with both the blockchain and the distributed file system. Olympus has three possible types of users: Data Subjects, Data Processors and Data Controllers and a fourth participant, Supervisor Authority, that, despite not being an explicit role, can perform all verifications that GDPR mandates. We conclude that it is possible to create a system that overcomes the major challenges of storing personal data in a blockchain (Right to be Forgotten and Right to Rectification), while maintaining its desirable characteristics (auditability, verifiability, tamper resistance, distributed—remove single points of failure) and complying with GDPR.","Several sectors have shown a growing interest in blockchain technology, though it also introduces considerable challenges, particularly regarding data privacy. Following the European Union's establishment of the General Data Protection Regulation (GDPR), global companies altered their personal data processing methods. This project offers a model and implementation for a blockchain system designed to store personal data in compliance with GDPR. We explore the benefits and difficulties, and assess the system's performance. The project utilizes Hyperledger Fabric for blockchain, the Interplanetary File System for off-chain personal data storage, and a Django REST API to facilitate communication between the blockchain and the distributed file system. Olympus identifies three user roles: Data Subjects, Data Processors, and Data Controllers, and includes a fourth entity, Supervisory Authority, which, though not an explicit role, can conduct all GDPR-required verifications. Our findings indicate that it is feasible to develop a system addressing the principal issues of storing personal data on a blockchain, such as the Right to be Forgotten and Right to Rectification, while preserving essential features like auditability, verifiability, tamper resistance, decentralized architecture, and GDPR compliance.","Across various industries, blockchain technology has garnered substantial attention, yet it also presents notable hurdles, particularly with regard to safeguarding sensitive information. Following the European Union's introduction of the General Data Protection Regulation (GDPR), companies globally have revamped their approach to handling personal data. This project develops and implements a blockchain-based system for storing personal data in compliance with GDPR regulations. We assess the benefits and drawbacks of this system, which leverages Hyperledger Fabric as the blockchain framework, Interplanetary File System for off-chain data storage, and a Django REST API to facilitate interactions between the blockchain and distributed file system. The Olympus system accommodates four distinct roles: Data Subjects, Data Processors, Data Controllers, and the Supervisor Authority, which, although not an explicit role, is responsible for conducting all GDPR-mandated verifications. Ultimately, our findings suggest that it is feasible to design a system that surmounts the primary challenges associated with storing personal data on a blockchain (namely, the Right to be Forgotten and Right to Rectification), while preserving its desirable attributes (auditability, verifiability, tamper resistance, and decentralization).","The increasing popularity of blockchain technology across various fields has been accompanied by significant data protection concerns. The European Union's General Data Protection Regulation (GDPR) prompted global companies to revamp their personal data processing practices. This initiative presents a GDPR-compliant model and implementation of a blockchain system for personal data storage. Through an evaluation of the system's strengths and limitations, we demonstrate its feasibility. The system leverages Hyperledger Fabric as the blockchain framework, the Interplanetary File System for off-chain personal data storage, and a Django REST API to facilitate interactions with both the blockchain and the distributed file system. Olympus accommodates three user types: Data Subjects, Data Processors, and Data Controllers. A fourth participant, the Supervisor Authority, while not an explicit role, is empowered to conduct all GDPR-mandated verifications. Our findings suggest that it is feasible to develop a system that addresses the key challenges of storing personal data on a blockchain (Right to be Forgotten and Right to Rectification) while preserving its advantageous attributes (auditability, verifiability, tamper resistance, and distributed nature for single point of failure elimination) and adhering to GDPR requirements."
67,"Opportunities, challenges, and benefits of AI innovation in government services: a review","Artificial intelligence (AI) has emerged as an excellent tool across multiple industries and holds great promise for the government, society, and economy. However, the absence of a distinct consensus regarding the definition and scope of artificial intelligence hinders its practical implementation in government settings. This article examines the various methodologies, emphases, and goals within artificial intelligence, emphasizing its ability to enhance human capabilities in critical situations. Considering the present advantages and enhanced productivity brought about by AI adoption in trailblazing government departments, this study explores the possible benefits and limitations of AI usage in the public sector. By looking at the cross-disciplinary difficulties of public AI applications, such as language hurdles and service delays, this study highlights the necessity for a thorough knowledge of the risks, impediments, and incentives of employing AI for government services. The study hopes to provide insight into AI research's ultimate aims, including object manipulation, natural language processing, and reasoning. This study emphasizes the potential for greater productivity, simplified procedures, and reduced obligations by analyzing the pros and cons of using AI in the public sector. Further, organizational theory is considered a tool for figuring out how to deal with challenges and maximize possibilities associated with AI deployment. The theory is used as the conceptual framework to understand the benefits, opportunities, and challenges involved in using AI when providing government services. The results of this research help us better understand how AI may revolutionize public service delivery by stimulating new ideas and improving efficiency. This study covers critical questions about organizational theory's role in improving government AI adoption, the challenges governments have in adopting AI, and the potential benefits AI might offer public service delivery. The research recommends a strategic approach to AI adoption in the public sector, considering organizational, ethical, and societal implications while recognizing the possibility of AI's transformative impacts on governments' service provision.","Artificial intelligence (AI) has gained recognition as a valuable asset across various industries and shows significant potential for government, society, and the economy. Nonetheless, the lack of a clear consensus on the definition and boundaries of AI obstructs its effective application in government contexts. This article delves into the diverse methodologies, focal points, and objectives within AI, underscoring its capacity to augment human capabilities in vital scenarios. Given the current benefits and increased efficiency achieved through AI adoption in pioneering government agencies, this study investigates the potential advantages and limitations of AI use in the public sector. By addressing the interdisciplinary challenges of public AI applications, such as language barriers and service delays, the study underscores the necessity for a comprehensive understanding of the risks, obstacles, and incentives associated with utilizing AI for government services. The study aims to shed light on the ultimate goals of AI research, including object manipulation, natural language processing, and reasoning. By evaluating the pros and cons of AI in the public sector, this study highlights the potential for enhanced productivity, streamlined processes, and reduced responsibilities. Additionally, organizational theory is employed as a framework to address challenges and capitalize on opportunities related to AI implementation. This theoretical approach helps to understand the benefits, prospects, and difficulties of integrating AI into government services. The findings of the research provide insights into how AI can revolutionize public service delivery by fostering innovation and boosting efficiency. The study addresses crucial questions about the role of organizational theory in facilitating government AI adoption, the challenges faced by governments in incorporating AI, and the potential benefits AI could bring to public service delivery. The research advocates for a strategic approach to AI in the public sector, taking into account organizational, ethical, and societal factors while acknowledging AI's transformative potential in enhancing government service delivery.","The advent of artificial intelligence (AI) has spawned a versatile instrument with far-reaching implications for governance, societal welfare, and economic growth. Nevertheless, the lack of a unified understanding of AI's definition and scope hampers its effective integration into government agencies. This examination delves into the diverse approaches, focal points, and objectives within AI, underscoring its capacity to augment human capabilities in high-stakes situations. Building upon the current advantages and enhanced efficiency achieved through AI adoption in pioneering government departments, this inquiry explores the potential benefits and limitations of AI utilization in the public sphere. By scrutinizing the interdisciplinary hurdles of public AI applications, such as linguistic barriers and service delays, this study underscores the imperative for a comprehensive grasp of the risks, obstacles, and incentives associated with AI deployment in government services. The study aims to provide insight into AI research's ultimate objectives, including object manipulation, natural language processing, and reasoning. This analysis highlights the potential for increased productivity, streamlined processes, and reduced liabilities by weighing the pros and cons of AI adoption in the public sector. Furthermore, organizational theory is leveraged as a tool to navigate challenges and maximize opportunities associated with AI implementation. The theory serves as the conceptual framework to understand the benefits, opportunities, and challenges inherent in AI-driven government service provision. The research findings facilitate a deeper understanding of how AI may revolutionize public service delivery by catalyzing innovation and enhancing efficiency. This study addresses critical questions regarding organizational theory's role in optimizing government AI adoption, the challenges governments face in adopting AI, and the potential benefits AI may offer public service delivery. The research advocates for a strategic approach to AI adoption in the public sector, considering organizational, ethical, and societal implications while acknowledging the possibility of AI's transformative impacts on governments' service provision.","Across various sectors, AI's potential is undeniable, promising significant advancements for government, societal, and economic landscapes. However, the lack of a unified understanding of AI's definition and reach creates obstacles for its practical integration within government. This research delves into the diverse methods, focuses, and objectives within the field of AI, highlighting its capacity to augment human capabilities in crucial situations. Examining the early successes and efficiency gains achieved by pioneering government agencies utilizing AI, this study investigates the potential advantages and drawbacks of AI implementation in public services. By analyzing the interdisciplinary challenges of public AI applications, such as linguistic barriers and service delays, this research stresses the need for a comprehensive understanding of the risks, obstacles, and motivators associated with employing AI in government. The study aims to shed light on the ultimate goals of AI research, encompassing areas like object manipulation, natural language processing, and logical reasoning. Through an assessment of the benefits and challenges of AI in the public sector, this research underscores the potential for increased productivity, streamlined processes, and minimized burdens. Furthermore, organizational theory is utilized as a framework to address challenges and capitalize on opportunities presented by AI integration. This theoretical lens provides insights into the benefits, opportunities, and challenges inherent in leveraging AI for government service delivery. This study's findings contribute to a deeper understanding of AI's potential to revolutionize public services by fostering innovation and enhancing efficiency. It addresses key questions regarding organizational theory's role in promoting AI adoption in government, the obstacles faced by governments in adopting AI, and the potential benefits AI offers to public service provision. The research advocates for a strategic approach to AI implementation in the public sector, taking into account organizational, ethical, and societal factors, while recognizing AI's transformative potential for government service delivery."
124,How to design an AI ethics board,"The development and deployment of artificial intelligence (AI) systems poses significant risks to society. To reduce these risks to an acceptable level, AI companies need an effective risk management process and sound risk governance. In this paper, we explore a particular way in which AI companies can improve their risk governance: by setting up an AI ethics board. We identify five key design choices: (1) What responsibilities should the board have? (2) What should its legal structure be? (3) Who should sit on the board? (4) How should it make decisions? (5) And what resources does it need? We break each of these questions down into more specific sub-questions, list options, and discuss how different design choices affect the board’s ability to reduce societal risks from AI. Several failures have shown that designing an AI ethics board can be challenging. This paper provides a toolbox that can help AI companies to overcome these challenges.","The creation and implementation of artificial intelligence (AI) systems present substantial dangers to society. To mitigate these risks to an acceptable threshold, AI firms need a robust risk management strategy and solid risk governance frameworks. In this article, we delve into a specific method for enhancing risk governance in AI firms: establishing an AI ethics board. We outline five crucial design considerations: (1) What duties should the board undertake? (2) What legal configuration should it have? (3) Who should be included on the board? (4) What decision-making processes should it follow? (5) And what resources are necessary for its function? We address each of these queries with detailed sub-questions, provide various options, and evaluate how different design choices impact the board's efficacy in mitigating AI-related societal risks. Numerous failures highlight the complexities in devising an AI ethics board. This paper equips AI firms with a toolkit to navigate these challenges effectively.","""The integration and implementation of artificial intelligence (AI) systems entails substantial perils to societal well-being. To mitigate these threats to a tolerable threshold, AI corporations require a robust risk mitigation framework and prudent governance structures. This study examines a specific strategy for enhancing risk governance in AI companies: the establishment of an AI ethics committee. We delineate five pivotal design considerations: (1) What authority should the committee wield? (2) What legal framework should it operate within? (3) Who should comprise the committee's membership? (4) How should it arrive at decisions? (5) And what resources are necessary for its functioning? We deconstruct each of these inquiries into more nuanced sub-inquiries, catalog potential options, and analyze how disparate design decisions influence the committee's capacity to alleviate societal perils associated with AI. The history of failed attempts underscores the complexity of designing an AI ethics committee. This paper offers a comprehensive guide to aid AI corporations in surmounting these obstacles.""","The burgeoning field of artificial intelligence presents considerable societal dangers that must be mitigated. To ensure these risks are minimized, organizations developing AI technologies require robust risk management strategies and ethical oversight. This study proposes the establishment of dedicated AI ethics boards as a crucial step towards achieving responsible AI development. We delve into five critical aspects of board design: the scope of their duties, their legal constitution, the composition of their membership, their decision-making processes, and the resources they require to function effectively. Each of these facets is further deconstructed into specific sub-questions, presenting diverse options and analyzing how different configurations influence the board's capacity to mitigate AI-associated risks to society. Past shortcomings underscore the intricacies inherent in designing such boards; this paper furnishes a pragmatic framework to navigate these challenges and empower AI companies to navigate the ethical dimensions of their work."
165,Should firms invest more in cybersecurity?,"We combine unique survey data on IT use and administrative tax record data on Dutch firms to understand how cybersecurity investments relate to the probability of cyber incidents and firm profitability. This dataset allows us to control for firm size, industry, and IT organization. We construct a new indicator to measure the degree of cyber maturity of firms and find that this maturity level tends to increase with firm size. Regression analyses suggest that the relation between maturity level and probability of a cyber incident is inverted U-shaped: a higher maturity level is initially associated with a higher incident probability, but the highest maturity level is associated with fewer reported incidents. This finding is consistent with the hypothesis that basic cybersecurity measures enable better detection of incidents and more sophisticated measures help to prevent incidents. We do not find, however, evidence for a positive relation between cybersecurity measures and profits.","We integrate distinct survey data regarding IT usage with administrative tax record data on Dutch companies to investigate the link between cybersecurity investments, the likelihood of cyber incidents, and company profitability. This dataset permits us to adjust for factors such as company size, industry, and IT infrastructure. We create a novel metric to gauge firms' cyber maturity and observe that larger firms typically exhibit higher levels of maturity. Our regression analysis indicates an inverted U-shaped relationship between cyber maturity and the likelihood of a cyber incident: as maturity levels increase, the probability of an incident initially rises but subsequently declines at the highest maturity levels. This observation aligns with the hypothesis that basic cybersecurity measures improve incident detection, whereas advanced measures contribute to incident prevention. However, we do not find evidence to support a positive correlation between cybersecurity measures and profitability.","By integrating distinctive survey insights on IT adoption with administrative tax records for Dutch companies, we examine the correlation between investments in cybersecurity and the likelihood of cyber breaches, as well as their impact on business profitability. This comprehensive dataset enables us to account for variations in company scale, sector, and IT infrastructure. We develop a novel metric to assess the cybersecurity sophistication of firms, revealing a positive correlation with company size. Our regression models indicate that the relationship between cybersecurity sophistication and incident probability follows an inverted U-curve, where higher maturity initially corresponds to increased incident likelihood, but the most advanced maturity levels are associated with fewer reported breaches. This outcome supports the notion that fundamental cybersecurity measures facilitate improved incident detection, while more advanced measures contribute to incident prevention. However, our analysis does not uncover a significant link between cybersecurity investments and enhanced profitability.","Leveraging a novel dataset that integrates survey responses regarding IT utilization with administrative tax records of Dutch companies, this study investigates the connection between cybersecurity expenditures, the likelihood of cyberattacks, and firm profitability. The dataset's richness enables us to account for variations in firm scale, industry, and IT infrastructure. A novel metric, quantifying the level of cyber preparedness within firms, was developed, revealing a positive correlation between this maturity level and firm size. Regression models indicate an inverted U-shaped relationship between cyber maturity and the probability of cyber incidents: initial increases in maturity correspond with a heightened incident probability, but the most mature firms report fewer incidents. This aligns with the theory that rudimentary cybersecurity practices enhance incident detection, while sophisticated measures focus on prevention. However, our analysis fails to identify a positive association between cybersecurity investments and profitability."
82,Creation mechanism of new media art combining artificial intelligence and internet of things technology in a metaverse environment,"The Metaverse is regarded as a brand-new virtual society constructed by deep media, and the new media art produced by new media technology will gradually replace the traditional art form and play an important role in the infinite Metaverse in the future. The maturity of the new media art creation mechanism must also depend on the help of artificial intelligence (AI) and Internet of Things (IoT) technology. The purpose of this study is to explore the image style transfer of digital painting art in new media art, that is, to reshape the image style by neural network technology in AI based on retaining the semantic information of the original image. Based on neural style transfer, an image style conversion method based on feature synthesis is proposed. Using the feature mapping of content image and style image and combining the advantages of traditional texture synthesis, a richer multi-style target feature mapping is synthesized. Then, the inverse transformation of target feature mapping is restored to an image to realize style transformation. In addition, the research results are analyzed. Under the background of integrating AI and IoT, the creation mechanism of new media art is optimized. Regarding digital art style transformation, the Tensorflow program framework is used for simulation verification and performance evaluation. The experimental results show that the image style transfer method based on feature synthesis proposed in this study can make the image texture more reasonably distributed, and can change the style texture by retaining more semantic structure content of the original image, thus generating richer artistic effects, and having better interactivity and local controllability. It can provide theoretical help and reference for developing new media art creation mechanisms.","The Metaverse is envisioned as a novel virtual society built by advanced media, with new media art generated through innovative media technologies expected to gradually replace traditional art forms and play a significant role in the limitless Metaverse of the future. The development of new media art creation mechanisms will also rely on the support of artificial intelligence (AI) and Internet of Things (IoT) technologies. This study aims to investigate the style transfer of digital painting in new media art, specifically by using neural network technology in AI to reshape image styles while preserving the original image's semantic information. An image style transformation method based on feature synthesis is proposed, leveraging the feature mapping of both content and style images, combined with traditional texture synthesis techniques, to create a richer multi-style feature mapping. The inverse transformation of this target feature mapping is then restored to an image to achieve style transformation. Additionally, the research results are analyzed, demonstrating that integrating AI and IoT optimizes new media art creation mechanisms. For digital art style transformation, the Tensorflow framework was employed for simulation and performance evaluation. Experimental outcomes indicate that the proposed feature synthesis-based image style transfer method can sensibly distribute image textures and alter style textures while retaining more of the original image's semantic structure, generating richer artistic effects, enhanced interactivity, and improved local controllability. It provides theoretical insights and references for the advancement of new media art creation mechanisms.","In the realm of the Metaverse, a novel virtual world crafted by cutting-edge media, innovative art forms spawned by new media technologies are poised to supplant traditional artistic expressions, assuming a pivotal role in the boundless expanse of the Metaverse. The evolution of new media art creation hinges on the synergy of artificial intelligence (AI) and Internet of Things (IoT) technologies. This investigation delves into the realm of digital painting art in new media, focusing on the neural network-driven image style transfer that preserves the original image's semantic essence. By harnessing the power of neural style transfer, a feature synthesis-based image style conversion method is proposed, which integrates the advantages of traditional texture synthesis to yield a richer, multi-style target feature mapping. This, in turn, enables the inverse transformation of the target feature mapping into an image, thereby achieving style transformation. Furthermore, the research outcomes are analyzed, optimizing the new media art creation mechanism under the umbrella of AI and IoT integration. The digital art style transformation is validated through simulation and performance evaluation using the Tensorflow program framework, demonstrating that the proposed feature synthesis-based image style transfer method can produce more reasonably distributed image textures, retain more semantic structure content, and generate richer artistic effects with enhanced interactivity and local controllability, thereby providing valuable theoretical insights for the development of new media art creation mechanisms.","The Metaverse, envisioned as a novel digital realm built upon advanced media technologies, is poised to witness a shift in artistic expression. New media art, powered by cutting-edge technologies, is expected to gradually supplant traditional art forms, assuming a pivotal role in the boundless expanse of the Metaverse. The evolution of this new creative landscape hinges on the integration of Artificial Intelligence (AI) and the Internet of Things (IoT). This study delves into the realm of style transfer in digital painting, aiming to reshape visual aesthetics using AI-driven neural networks while preserving the inherent meaning of the source image. A novel approach grounded in feature synthesis is introduced, leveraging the characteristics of both content and style images and drawing upon the strengths of conventional texture synthesis techniques to generate a multifaceted target feature map. Through inverse transformation, this map is then rendered into an image, effectively achieving style transfer. The integration of AI and IoT paves the way for an enhanced new media art creation mechanism. Utilizing the Tensorflow framework, the proposed style transfer method undergoes rigorous simulation and evaluation. Results demonstrate that this approach facilitates a more coherent distribution of image texture, allowing for style modification while faithfully retaining the semantic essence of the original image. Consequently, it yields a richer artistic output with enhanced interactivity and localized control, offering valuable insights and guidance for the future development of new media art creation mechanisms."
133,Simulation of dual-purpose chicken breeding programs implementing gene editing,"BackgroundIn spite of being controversial and raising ethical concerns, the application of gene editing is more likely to be accepted when it contributes to improving animal welfare. One of the animal welfare and ethical issues in chicken breeding is chick culling, the killing of the male layer chicks after hatching due to the poor fattening performance. Although establishing dual-purpose chicken lines could solve this problem, unfavorable genetic correlations between egg and meat production traits hindered their competitiveness. Although it is also controversial in ethical terms, gene editing may accelerate genetic progress in dual-purpose chicken and alleviate the ethical concerns from chick culling.ResultsThe simulation compared the utility improvement in dual-purpose use under two breeding schemes: one consisting in the improvement of the laying hens, and the second in the improvement of a synthetic line obtained from a layer broiler cross. In each breeding scheme, the breeding programs were simulated with and without gene editing. Polygenic breeding values and 500 simulated quantitative trait loci (QTL) with different levels of pleiotropy caused negative correlations between egg production, meat production, and overall health. The results of the simulation demonstrated that genetic gain could be accelerated by at most 81% for several generations if gene editing was used. The actual increase in genetic gain depended on the number of single nucleotide polymorphisms (SNPs) being edited per animal. The rate of genetic improvement became equal in scenarios with and without gene editing after 20 generations. This is because the remaining segregating QTL had small effects and their edition would have negative overall health effects from potential off-target edits. Although gene editing can improve genetic gain in quantitative traits, it can only be recommended as long as QTL with reasonable effect sizes are segregating and detectable.ConclusionsThis simulation demonstrates the potential of gene editing to accelerate the simultaneous improvement of negatively correlated traits. When the risk of negative consequences from gene editing persists, the number of SNPs to be edited should be chosen carefully to obtain the optimal genetic gain.","Despite ongoing ethical debates, gene editing's use may garner acceptance when it improves animal welfare. A significant ethical issue in chicken breeding is chick culling, wherein male layer chicks are culled post-hatching due to low fattening efficiency. Dual-purpose chicken lines could address this issue, but unfavorable genetic correlations between egg and meat production have limited their effectiveness. Although ethically contentious, gene editing has the potential to enhance genetic progress in dual-purpose chickens and mitigate ethical issues related to chick culling. The simulation examined utility improvements in dual-purpose chickens under two breeding strategies: enhancing laying hens and developing a synthetic line from a layer-broiler hybrid. Each strategy was simulated with and without gene editing. Polygenic breeding values and 500 simulated quantitative trait loci (QTL) with varying pleiotropic effects created negative correlations between egg production, meat production, and overall health. Results indicated that gene editing could boost genetic gains by up to 81% over several generations, contingent on the number of single nucleotide polymorphisms (SNPs) edited per animal. After 20 generations, the rate of genetic improvement in scenarios with and without gene editing equalized, as remaining segregating QTL had minor impacts, and editing them could negatively affect overall health due to potential off-target edits. While gene editing can enhance genetic gains in quantitative traits, it should be employed with caution, ensuring QTL with significant effect sizes are segregating and detectable. In conclusion, the simulation highlights gene editing's potential to accelerate the improvement of negatively correlated traits. To minimize risks associated with gene editing, careful selection of the number of SNPs to be edited is crucial for achieving optimal genetic gain.","Despite the controversy and ethical dilemmas surrounding gene editing, its application is more palatable when it enhances animal welfare. A pressing concern in chicken breeding is the culling of male layer chicks due to their poor meat production capabilities, which could be addressed by developing dual-purpose chicken lines. However, unfavorable genetic correlations between egg and meat production traits hinder their viability. Gene editing, although ethically contentious, may expedite genetic progress in dual-purpose chickens and mitigate the ethical concerns associated with chick culling. A simulation was conducted to compare the utility improvement in dual-purpose use under two breeding schemes: enhancing laying hens and developing a synthetic line from a layer-broiler cross. The results showed that genetic gain could be accelerated by up to 81% over several generations with gene editing, depending on the number of edited single nucleotide polymorphisms (SNPs) per animal. However, the rate of genetic improvement equalized in scenarios with and without gene editing after 20 generations, as the remaining segregating QTL had minimal effects and their editing could have detrimental overall health consequences. Gene editing can improve genetic gain in quantitative traits, but its recommendation is contingent upon the presence of segregating QTL with significant effect sizes.","Despite ethical debates surrounding its use, gene editing is seen as more acceptable when it enhances animal welfare. One such welfare issue in poultry farming is the culling of male chicks due to their poor meat yield. While dual-purpose breeds could address this, the inherent trade-off between egg and meat production traits limits their effectiveness. Gene editing, though ethically contentious, could expedite the development of competitive dual-purpose chickens, mitigating the ethical concerns associated with culling. A simulated study evaluated the potential benefits of gene editing in dual-purpose chicken breeding, comparing two approaches: enhancing existing laying hens and creating a synthetic line from a broiler-layer cross. Each approach was simulated with and without gene editing. The simulations incorporated polygenic breeding values and 500 quantitative trait loci (QTL) with varying degrees of pleiotropy, resulting in negative correlations between egg production, meat production, and overall health. The results showed that gene editing could accelerate genetic gain by up to 81% for several generations, depending on the number of single nucleotide polymorphisms (SNPs) edited per animal. However, after 20 generations, the rate of genetic improvement became comparable in scenarios with and without gene editing. This convergence occurred because the remaining QTL had small effects, and editing them could negatively impact overall health due to potential off-target edits. This study highlights the potential of gene editing to simultaneously improve negatively correlated traits. However, given the inherent risks associated with gene editing, the number of SNPs targeted for editing should be carefully considered to maximize genetic gain while minimizing potential adverse effects."
36,Salsal: blockchain for vetting cultural object collections,"Many modern cultural object collections suffer from the problem of being obtained in unethical and illegal circumstances. Additionally, information about collections, including their status, object descriptions, and other data need up-to-date information presented to users. We propose a novel blockchain tool called Salsal that enables the vetting of objects, individually or as part of more extensive collections, to meet required ethical and legal guidelines while informing users about relevant information regarding collections. Blockchain provides a better and more rapid way for users to know about collections using a decentralized and immutable ledger technology. Blockchain can be used to incentivize or even pressure collections to vet their objects for ethical and legal guidelines that can benefit the public who use object collections. The prototype software we have made is presented and compared to other blockchains, with code and demonstration provided. We present how our blockchain can enable benefit, providing a useful vetting process for cultural objects, and allowing a user community to contribute to collections in a transparent and secure manner.","Numerous contemporary cultural collections face issues due to acquisition under unethical and unlawful conditions. Furthermore, up-to-date information on collections, including their status, object descriptions, and other associated data, is essential for users. Our innovative blockchain tool, Salsal, proposes a solution by facilitating the verification of objects, either individually or as part of larger collections, ensuring compliance with ethical and legal standards while delivering pertinent collection information to users. Utilizing decentralized and immutable ledger technology, blockchain offers a superior and faster method for users to access information about collections. It can incentivize or exert pressure on collections to authenticate their objects according to ethical and legal criteria that benefit the public. We introduce our prototype software, complete with code and a demonstration, and compare it to other blockchain technologies. Our blockchain aims to provide a beneficial vetting process for cultural objects, promoting transparency and security, and allowing the user community to actively contribute to collections.","Numerous contemporary cultural repositories are plagued by the issue of acquiring artifacts through illicit and unethical means. Furthermore, users require access to up-to-date information about these collections, including their provenance, item descriptions, and supplementary data. To address this, we introduce Salsal, a pioneering blockchain-based solution that facilitates the verification of individual objects or entire collections against established ethical and legal standards, while providing users with pertinent information about these collections. By leveraging decentralized and immutable ledger technology, blockchain enables rapid and secure dissemination of information about collections to users. This technology can also be utilized to encourage or compel collections to adhere to ethical and legal guidelines, ultimately benefiting the public that engages with these repositories. Our prototype software is showcased, benchmarked against other blockchain solutions, and accompanied by code and a demonstration. We demonstrate how our blockchain can foster a transparent and secure environment, empowering a community of users to contribute to cultural collections while ensuring a rigorous vetting process for artifacts.","Numerous contemporary collections of cultural artifacts are marred by provenance issues, often acquired through illicit or ethically questionable means. Moreover, these collections frequently lack comprehensive and current documentation, encompassing their status, object details, and other pertinent information. To address these challenges, we introduce Salsal, a pioneering blockchain-based solution. Salsal facilitates the scrutiny of individual objects or entire collections, ensuring compliance with ethical and legal standards while disseminating relevant information to users. Leveraging the decentralized and immutable nature of blockchain technology, Salsal provides a more efficient and transparent means for users to access collection data. Furthermore, it can incentivize or even compel collections to undergo ethical and legal vetting, ultimately benefiting the public who engage with these artifacts. Our prototype software is presented alongside a comparative analysis of existing blockchain solutions, with accompanying code and demonstration. We elaborate on how our blockchain can facilitate a valuable vetting process for cultural objects, empowering a user community to contribute to collections in a secure and transparent manner."
114,A systematic review and meta-analysis of procedural justice and legitimacy in policing: the effect of social identity and social contexts,"ObjectivesTo systematically review the effect of social identity and social contexts on the association between procedural justice and legitimacy in policing.MethodsA meta-analysis synthesising data from 123 studies (N = 200,966) addressing the relationship between procedural justice and legitimacy in policing. Random effects univariate and two-stage structural equation modelling meta-analyses were performed.ResultsBoth procedural justice and social identity are found to be significantly correlated with police legitimacy. Moreover, social identity significantly mediates, but does not moderate, the association between procedural justice and legitimacy. People of younger age and from more developed countries tend to correlate procedural justice stronger with police legitimacy.ConclusionThis study demonstrates that social identity is an important antecedent of legitimacy and a critical factor in the dynamics of procedural fairness in policing. It also shows that the extent to which procedural justice and legitimacy are correlated varies across social groups and contexts. The theoretical implications of our findings are discussed.","Aims: To conduct a systematic review examining how social identity and contexts influence the link between procedural justice and police legitimacy. Methods: This meta-analysis combines results from 123 studies (N = 200,966) exploring the relationship between procedural justice and police legitimacy. The analysis utilized random effects univariate and two-stage structural equation modeling techniques. Findings: There is a significant correlation between both procedural justice and social identity with police legitimacy. Social identity notably mediates but does not moderate the relationship between procedural justice and legitimacy. Younger individuals and those from more developed countries are more likely to perceive a strong connection between procedural justice and police legitimacy. Conclusion: The study highlights social identity as a crucial precursor to legitimacy and a key element in the dynamics of procedural justice within policing. It also indicates that the correlation between procedural justice and legitimacy varies among different social groups and contexts. The theoretical implications of these findings are explored.","""This study aimed to investigate the interplay between social identity, social environments, and the relationship between fair policing procedures and public trust in law enforcement. A comprehensive meta-analysis of 123 studies involving over 200,000 participants was conducted, employing advanced statistical models to examine the correlations. The findings revealed that both fair procedures and social identity have a significant impact on police legitimacy, with social identity playing a mediating role in this association. Notably, the strength of this correlation varied across different age groups and countries, with younger individuals and those from more developed nations exhibiting a stronger link. The study's conclusions underscore the critical role of social identity in shaping public perceptions of police legitimacy and highlight the need to consider the diverse social contexts in which policing takes place.""","This research synthesized data from 123 studies (encompassing 200,966 participants) to examine how social identity and societal factors influence the link between procedural fairness and perceived legitimacy in law enforcement. Employing advanced statistical methods, the study revealed significant correlations between procedural justice, social identity, and police legitimacy. Notably, social identity acts as a key mediator, but not a moderator, in the relationship between procedural justice and legitimacy. The strength of the correlation between procedural justice and legitimacy varied based on demographic factors like age and national development. This investigation underscores the crucial role of social identity in shaping perceptions of legitimacy and highlights its significance in the interplay between procedural fairness and policing. Furthermore, it demonstrates that the connection between procedural justice and legitimacy is not uniform but rather is influenced by social contexts and group affiliations. The study's theoretical implications are explored in detail."
